english,chinese,social,total,count
1,6,10,17,1
1,7,4,12,1
1,7,5,13,1
1,7,6,14,1
1,7,7,15,1
1,7,8,16,1
1,7,9,17,1
1,7,10,18,1
1,7,11,19,1
1,7,12,20,1
1,7,13,21,1
1,8,4,13,1
1,8,5,14,1
1,8,6,15,1
1,8,7,16,1
1,8,8,17,1
1,8,9,18,1
1,8,10,19,1
1,8,11,20,1
1,8,12,21,1
1,8,13,22,1
1,9,3,13,1
1,9,4,14,1
1,9,5,15,1
1,9,6,16,1
1,9,7,17,2
1,9,8,18,2
1,9,9,19,2
1,9,10,20,2
1,9,11,21,2
1,9,12,22,2
1,9,13,23,1
1,9,14,24,1
1,10,3,14,1
1,10,4,15,2
1,10,5,16,2
1,10,6,17,2
1,10,7,18,2
1,10,8,19,2
1,10,9,20,3
1,10,10,21,3
1,10,11,22,3
1,10,12,23,2
1,10,13,24,2
1,10,14,25,1
1,10,15,26,1
1,11,3,15,1
1,11,4,16,2
1,11,5,17,2
1,11,6,18,3
1,11,7,19,3
1,11,8,20,3
1,11,9,21,3
1,11,10,22,3
1,11,11,23,3
1,11,12,24,3
1,11,13,25,2
1,11,14,26,1
1,11,15,27,1
1,12,3,16,1
1,12,4,17,2
1,12,5,18,2
1,12,6,19,2
1,12,7,20,3
1,12,8,21,3
1,12,9,22,3
1,12,10,23,3
1,12,11,24,3
1,12,12,25,3
1,12,13,26,2
1,12,14,27,1
1,12,15,28,1
1,13,3,17,1
1,13,4,18,1
1,13,5,19,2
1,13,6,20,2
1,13,7,21,2
1,13,8,22,2
1,13,9,23,2
1,13,10,24,2
1,13,11,25,2
1,13,12,26,2
1,13,13,27,1
1,13,14,28,1
1,14,4,19,1
1,14,5,20,1
1,14,6,21,1
1,14,7,22,1
1,14,8,23,1
1,14,9,24,1
1,14,10,25,1
1,14,11,26,1
1,14,12,27,1
1,14,13,28,1
2,2,3,7,1
2,2,4,8,1
2,2,5,9,1
2,2,6,10,1
2,2,7,11,1
2,2,8,12,2
2,2,9,13,2
2,2,10,14,2
2,2,11,15,2
2,2,12,16,1
2,2,13,17,1
2,2,14,18,1
2,3,3,8,1
2,3,4,9,2
2,3,5,10,2
2,3,6,11,2
2,3,7,12,3
2,3,8,13,3
2,3,9,14,3
2,3,10,15,3
2,3,11,16,3
2,3,12,17,3
2,3,13,18,2
2,3,14,19,1
2,3,15,20,1
2,4,3,9,1
2,4,4,10,3
2,4,5,11,3
2,4,6,12,3
2,4,7,13,3
2,4,8,14,4
2,4,9,15,4
2,4,10,16,4
2,4,11,17,4
2,4,12,18,3
2,4,13,19,3
2,4,14,20,1
2,4,15,21,1
2,5,3,10,2
2,5,4,11,4
2,5,5,12,5
2,5,6,13,5
2,5,7,14,5
2,5,8,15,6
2,5,9,16,6
2,5,10,17,6
2,5,11,18,6
2,5,12,19,5
2,5,13,20,4
2,5,14,21,2
2,5,15,22,1
2,6,3,11,3
2,6,4,12,6
2,6,5,13,7
2,6,6,14,8
2,6,7,15,8
2,6,8,16,9
2,6,9,17,10
2,6,10,18,10
2,6,11,19,9
2,6,12,20,8
2,6,13,21,6
2,6,14,22,4
2,6,15,23,2
2,7,2,11,1
2,7,3,12,5
2,7,4,13,10
2,7,5,14,11
2,7,6,15,12
2,7,7,16,13
2,7,8,17,14
2,7,9,18,15
2,7,10,19,15
2,7,11,20,15
2,7,12,21,13
2,7,13,22,10
2,7,14,23,6
2,7,15,24,3
2,8,2,12,1
2,8,3,13,8
2,8,4,14,15
2,8,5,15,17
2,8,6,16,19
2,8,7,17,20
2,8,8,18,22
2,8,9,19,23
2,8,10,20,24
2,8,11,21,22
2,8,12,22,20
2,8,13,23,15
2,8,14,24,9
2,8,15,25,5
2,9,2,13,2
2,9,3,14,12
2,9,4,15,24
2,9,5,16,27
2,9,6,17,29
2,9,7,18,31
2,9,8,19,33
2,9,9,20,36
2,9,10,21,36
2,9,11,22,34
2,9,12,23,30
2,9,13,24,23
2,9,14,25,14
2,9,15,26,7
2,10,2,14,2
2,10,3,15,18
2,10,4,16,34
2,10,5,17,38
2,10,6,18,41
2,10,7,19,44
2,10,8,20,47
2,10,9,21,51
2,10,10,22,52
2,10,11,23,49
2,10,12,24,43
2,10,13,25,33
2,10,14,26,20
2,10,15,27,10
2,11,2,15,3
2,11,3,16,22
2,11,4,17,42
2,11,5,18,47
2,11,6,19,51
2,11,7,20,54
2,11,8,21,59
2,11,9,22,63
2,11,10,23,64
2,11,11,24,61
2,11,12,25,54
2,11,13,26,41
2,11,14,27,24
2,11,15,28,13
2,12,2,16,3
2,12,3,17,21
2,12,4,18,39
2,12,5,19,45
2,12,6,20,48
2,12,7,21,51
2,12,8,22,55
2,12,9,23,60
2,12,10,24,61
2,12,11,25,57
2,12,12,26,50
2,12,13,27,39
2,12,14,28,23
