english,chinese,social,total,count
15,15,15,45,2
15,15,14,44,4
15,15,13,43,7
15,15,12,42,10
15,15,11,41,13
15,15,10,40,13
15,15,9,39,13
15,15,8,38,11
15,15,7,37,7
15,15,6,36,5
15,15,5,35,3
15,15,4,34,2
15,14,15,44,4
15,14,14,43,9
15,14,13,42,16
15,14,12,41,24
15,14,11,40,31
15,14,10,39,30
15,14,9,38,30
15,14,8,37,25
15,14,7,36,17
15,14,6,35,13
15,14,5,34,8
15,14,4,33,4
15,14,3,32,1
15,13,15,43,7
15,13,14,42,17
15,13,13,41,29
15,13,12,40,45
15,13,11,39,57
15,13,10,38,55
15,13,9,37,56
15,13,8,36,47
15,13,7,35,31
15,13,6,34,23
15,13,5,33,14
15,13,4,32,7
15,13,3,31,2
15,12,15,42,10
15,12,14,41,23
15,12,13,40,41
15,12,12,39,62
15,12,11,38,80
15,12,10,37,77
15,12,9,36,78
15,12,8,35,65
15,12,7,34,44
15,12,6,33,33
15,12,5,32,20
15,12,4,31,10
15,12,3,30,3
15,11,15,41,11
15,11,14,40,26
15,11,13,39,45
15,11,12,38,69
15,11,11,37,89
15,11,10,36,85
15,11,9,35,86
15,11,8,34,73
15,11,7,33,49
15,11,6,32,36
15,11,5,31,22
15,11,4,30,11
15,11,3,29,3
15,10,15,40,11
15,10,14,39,25
15,10,13,38,45
15,10,12,37,68
15,10,11,36,88
15,10,10,35,84
15,10,9,34,85
15,10,8,33,72
15,10,7,32,48
15,10,6,31,36
15,10,5,30,21
15,10,4,29,11
15,10,3,28,3
15,9,15,39,9
15,9,14,38,21
15,9,13,37,36
15,9,12,36,55
15,9,11,35,71
15,9,10,34,68
15,9,9,33,69
15,9,8,32,58
15,9,7,31,39
15,9,6,30,29
15,9,5,29,17
15,9,4,28,9
15,9,3,27,3
15,8,15,38,6
15,8,14,37,15
15,8,13,36,26
15,8,12,35,39
15,8,11,34,51
15,8,10,33,48
15,8,9,32,49
15,8,8,31,41
15,8,7,30,28
15,8,6,29,21
15,8,5,28,12
15,8,4,27,6
15,8,3,26,2
15,7,15,37,4
15,7,14,36,10
15,7,13,35,18
15,7,12,34,27
15,7,11,33,35
15,7,10,32,33
15,7,9,31,34
15,7,8,30,28
15,7,7,29,19
15,7,6,28,14
15,7,5,27,8
15,7,4,26,4
15,7,3,25,1
15,6,15,36,3
15,6,14,35,7
15,6,13,34,11
15,6,12,33,18
15,6,11,32,23
15,6,10,31,22
15,6,9,30,22
15,6,8,29,18
15,6,7,28,12
15,6,6,27,9
15,6,5,26,5
15,6,4,25,3
15,6,3,24,1
15,5,15,35,2
15,5,14,34,4
15,5,13,33,7
15,5,12,32,11
15,5,11,31,14
15,5,10,30,13
15,5,9,29,13
15,5,8,28,11
15,5,7,27,8
15,5,6,26,6
15,5,5,25,3
15,5,4,24,2
15,4,15,34,1
15,4,14,33,2
15,4,13,32,4
15,4,12,31,7
15,4,11,30,9
15,4,10,29,8
15,4,9,28,8
15,4,8,27,7
15,4,7,26,5
15,4,6,25,3
15,4,5,24,2
15,4,4,23,1
15,3,15,33,1
15,3,14,32,2
15,3,13,31,3
15,3,12,30,5
15,3,11,29,6
15,3,10,28,6
15,3,9,27,6
15,3,8,26,5
15,3,7,25,3
15,3,6,24,2
15,3,5,23,1
15,3,4,22,1
15,2,14,31,1
15,2,13,30,2
15,2,12,29,3
15,2,11,28,4
15,2,10,27,3
15,2,9,26,3
15,2,8,25,3
15,2,7,24,2
15,2,6,23,1
15,2,5,22,1
14,15,15,44,3
14,15,14,43,6
14,15,13,42,11
14,15,12,41,17
14,15,11,40,22
14,15,10,39,21
14,15,9,38,22
14,15,8,37,18
14,15,7,36,12
14,15,6,35,9
14,15,5,34,5
14,15,4,33,3
14,15,3,32,1
14,14,15,43,7
14,14,14,42,15
14,14,13,41,27
14,14,12,40,41
14,14,11,39,52
14,14,10,38,50
14,14,9,37,51
14,14,8,36,43
14,14,7,35,29
14,14,6,34,21
14,14,5,33,13
14,14,4,32,6
14,14,3,31,2
14,13,15,42,12
14,13,14,41,28
14,13,13,40,49
14,13,12,39,75
14,13,11,38,97
14,13,10,37,93
14,13,9,36,94
14,13,8,35,79
14,13,7,34,53
14,13,6,33,40
14,13,5,32,24
14,13,4,31,12
14,13,3,30,3
14,12,15,41,17
14,12,14,40,39
14,12,13,39,69
14,12,12,38,106
14,12,11,37,136
14,12,10,36,130
14,12,9,35,132
14,12,8,34,111
14,12,7,33,74
14,12,6,32,55
14,12,5,31,33
14,12,4,30,17
14,12,3,29,5
14,11,15,40,19
14,11,14,39,44
14,11,13,38,77
14,11,12,37,117
14,11,11,36,151
14,11,10,35,144
14,11,9,34,147
14,11,8,33,123
14,11,7,32,82
14,11,6,31,62
14,11,5,30,37
14,11,4,29,19
14,11,3,28,5
14,10,15,39,19
14,10,14,38,43
14,10,13,37,76
14,10,12,36,115
14,10,11,35,148
14,10,10,34,142
14,10,9,33,144
14,10,8,32,121
14,10,7,31,81
14,10,6,30,60
14,10,5,29,36
14,10,4,28,18
14,10,3,27,5
14,9,15,38,15
14,9,14,37,35
14,9,13,36,61
14,9,12,35,93
14,9,11,34,120
14,9,10,33,115
14,9,9,32,117
14,9,8,31,98
14,9,7,30,66
14,9,6,29,49
14,9,5,28,29
14,9,4,27,15
14,9,3,26,4
14,8,15,37,11
14,8,14,36,25
14,8,13,35,44
14,8,12,34,67
14,8,11,33,86
14,8,10,32,82
14,8,9,31,84
14,8,8,30,70
14,8,7,29,47
14,8,6,28,35
14,8,5,27,21
14,8,4,26,11
14,8,3,25,3
14,7,15,36,8
14,7,14,35,17
14,7,13,34,30
14,7,12,33,46
14,7,11,32,59
14,7,10,31,56
14,7,9,30,57
14,7,8,29,48
14,7,7,28,32
14,7,6,27,24
14,7,5,26,14
14,7,4,25,7
14,7,3,24,2
14,6,15,35,5
14,6,14,34,11
14,6,13,33,19
14,6,12,32,30
14,6,11,31,38
14,6,10,30,36
14,6,9,29,37
14,6,8,28,31
14,6,7,27,21
14,6,6,26,16
14,6,5,25,9
14,6,4,24,5
14,6,3,23,1
14,5,15,34,3
14,5,14,33,7
14,5,13,32,12
14,5,12,31,18
14,5,11,30,23
14,5,10,29,22
14,5,9,28,23
14,5,8,27,19
14,5,7,26,13
14,5,6,25,10
14,5,5,24,6
14,5,4,23,3
14,5,3,22,1
14,4,15,33,2
14,4,14,32,4
14,4,13,31,7
14,4,12,30,11
14,4,11,29,14
14,4,10,28,14
14,4,9,27,14
14,4,8,26,12
14,4,7,25,8
14,4,6,24,6
14,4,5,23,4
14,4,4,22,2
14,4,3,21,1
14,3,15,32,1
14,3,14,31,3
14,3,13,30,5
14,3,12,29,8
14,3,11,28,10
14,3,10,27,10
14,3,9,26,10
14,3,8,25,8
14,3,7,24,6
14,3,6,23,4
14,3,5,22,2
14,3,4,21,1
14,2,15,31,1
14,2,14,30,2
14,2,13,29,3
14,2,12,28,5
14,2,11,27,6
14,2,10,26,6
14,2,9,25,6
14,2,8,24,5
14,2,7,23,3
14,2,6,22,2
14,2,5,21,1
14,2,4,20,1
13,15,15,43,4
13,15,14,42,8
13,15,13,41,14
13,15,12,40,21
13,15,11,39,28
13,15,10,38,26
13,15,9,37,27
13,15,8,36,23
13,15,7,35,15
13,15,6,34,11
13,15,5,33,7
13,15,4,32,3
13,15,3,31,1
13,14,15,42,8
13,14,14,41,19
13,14,13,40,33
13,14,12,39,50
13,14,11,38,64
13,14,10,37,62
13,14,9,36,63
13,14,8,35,53
13,14,7,34,35
13,14,6,33,26
13,14,5,32,16
13,14,4,31,8
13,14,3,30,2
13,13,15,41,15
13,13,14,40,35
13,13,13,39,61
13,13,12,38,93
13,13,11,37,119
13,13,10,36,114
13,13,9,35,116
13,13,8,34,98
13,13,7,33,65
13,13,6,32,49
13,13,5,31,29
13,13,4,30,15
13,13,3,29,4
13,12,15,40,21
13,12,14,39,48
13,12,13,38,85
13,12,12,37,130
13,12,11,36,167
13,12,10,35,159
13,12,9,34,162
13,12,8,33,136
13,12,7,32,91
13,12,6,31,68
13,12,5,30,41
13,12,4,29,21
13,12,3,28,6
13,11,15,39,24
13,11,14,38,54
13,11,13,37,95
13,11,12,36,144
13,11,11,35,186
13,11,10,34,177
13,11,9,33,180
13,11,8,32,152
13,11,7,31,101
13,11,6,30,76
13,11,5,29,45
13,11,4,28,23
13,11,3,27,7
13,11,2,26,1
13,10,15,38,23
13,10,14,37,53
13,10,13,36,93
13,10,12,35,142
13,10,11,34,182
13,10,10,33,174
13,10,9,32,177
13,10,8,31,149
13,10,7,30,100
13,10,6,29,74
13,10,5,28,45
13,10,4,27,22
13,10,3,26,7
13,10,2,25,1
13,9,15,37,19
13,9,14,36,43
13,9,13,35,75
13,9,12,34,115
13,9,11,33,148
13,9,10,32,141
13,9,9,31,144
13,9,8,30,121
13,9,7,29,81
13,9,6,28,60
13,9,5,27,36
13,9,4,26,18
13,9,3,25,5
13,8,15,36,14
13,8,14,35,31
13,8,13,34,54
13,8,12,33,82
13,8,11,32,106
13,8,10,31,101
13,8,9,30,103
13,8,8,29,86
13,8,7,28,58
13,8,6,27,43
13,8,5,26,26
13,8,4,25,13
13,8,3,24,4
13,7,15,35,9
13,7,14,34,21
13,7,13,33,37
13,7,12,32,56
13,7,11,31,72
13,7,10,30,69
13,7,9,29,70
13,7,8,28,59
13,7,7,27,39
13,7,6,26,30
13,7,5,25,18
13,7,4,24,9
13,7,3,23,3
13,6,15,34,6
13,6,14,33,14
13,6,13,32,24
13,6,12,31,37
13,6,11,30,47
13,6,10,29,45
13,6,9,28,46
13,6,8,27,38
13,6,7,26,26
13,6,6,25,19
13,6,5,24,11
13,6,4,23,6
13,6,3,22,2
13,5,15,33,4
13,5,14,32,8
13,5,13,31,15
13,5,12,30,22
